,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
93,"Jan. 31, 2010",Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Calgary Flames ,Matt StajanIan WhiteJamal MayersNiklas Hagman,Toronto Maple Leafs ,Dion PhaneufKeith AulieFredrik Sjostrom
94,"Jan. 31, 2010",Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Anaheim Ducks ,Vesa ToskalaJason Blake,Toronto Maple Leafs ,Jean-Sebastien Giguere
95,"Dec. 28, 2009",Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Washington Capitals Acquire:Jason Chimera,Columbus Blue Jackets ,Milan JurcinaChris Clark,Washington Capitals ,Jason Chimera
96,"Dec. 8, 2009",Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,St. Louis Blues Acquire:Pascal Pelletier,Columbus Blue Jackets ,Tomas KanaBrendan Bell,St. Louis Blues ,Pascal Pelletier
97,"Dec. 3, 2009",Carolina Hurricanes Acquire:Jiri Tlusty,Toronto Maple Leafs Acquire:Philippe Paradis,Carolina Hurricanes ,Jiri Tlusty,Toronto Maple Leafs ,Philippe Paradis
98,"Dec. 2, 2009",Anaheim Ducks Acquire:Kyle Chipchura,Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Anaheim Ducks ,Kyle Chipchura,Montreal Canadiens ,2011 4th round pick (ANA - #113 - Magnus Nygren)
99,"Nov. 23, 2009",Minnesota Wild Acquire:Guillaume Latendresse,Montreal Canadiens Acquire:Benoit Pouliot,Minnesota Wild ,Guillaume Latendresse,Montreal Canadiens ,Benoit Pouliot
100,"Oct. 20, 2009",Columbus Blue Jackets Acquire:Michael Ratchuk,Philadelphia Flyers Acquire:Stefan Legein,Columbus Blue Jackets ,Michael Ratchuk,Philadelphia Flyers ,Stefan Legein
101,"Oct. 20, 2009",Boston Bruins Acquire:Daniel Paille,Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Boston Bruins ,Daniel Paille,Buffalo Sabres ,2010 3rd round pick (BOS - #75 - Kevin Sundher)
102,"Oct. 18, 2009",Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Minnesota Wild Acquire:Chuck Kobasew,Boston Bruins ,Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Minnesota Wild ,Chuck Kobasew
103,"Oct. 8, 2009",Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Atlanta Thrashers Acquire:Future Considerations,Columbus Blue Jackets ,Jordan LaVallée-Smotherman,Atlanta Thrashers ,Future Considerations
104,"Oct. 7, 2009",Calgary Flames Acquire:Aaron Johnson,Chicago Blackhawks Acquire:Kyle Greentree,Calgary Flames ,Aaron Johnson,Chicago Blackhawks ,Kyle Greentree
105,"Sep. 28, 2009",Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Columbus Blue Jackets Acquire:Anton Strålman,Calgary Flames ,2010 3rd round pick (CBJ - #64 - Max Reinhart),Columbus Blue Jackets ,Anton Strålman
106,"Sep. 24, 2009",Anaheim Ducks Acquire:Future Considerations,Atlanta Thrashers Acquire:Steve McCarthy,Anaheim Ducks ,Future Considerations,Atlanta Thrashers ,Steve McCarthy
107,"Sep. 18, 2009",Boston Bruins Acquire:2011 1st round pick (TOR - #9 - Dougie Hamilton)2010 1st round pick (TOR - #2 - Tyler Seguin)2010 2nd round pick (TOR - #32 - Jared Knight),Toronto Maple Leafs Acquire:Phil Kessel,Boston Bruins ,2011 1st round pick (TOR - #9 - Dougie Hamilton)2010 1st round pick (TOR - #2 - Tyler Seguin)2010 2nd round pick (TOR - #32 - Jared Knight),Toronto Maple Leafs ,Phil Kessel
108,"Sep. 12, 2009",Ottawa Senators Acquire:Milan MichalekJonathan Cheechoo2010 2nd round pick (SJS - #58 - Kent Simpson),San Jose Sharks Acquire:Dany Heatley2010 5th round pick (OTT - #136 - Issac Macleod),Ottawa Senators ,Milan MichalekJonathan Cheechoo2010 2nd round pick (SJS - #58 - Kent Simpson),San Jose Sharks ,Dany Heatley2010 5th round pick (OTT - #136 - Issac Macleod)
109,"Sep. 5, 2009",Chicago Blackhawks Acquire:2011 2nd round pick (CGY - #43 - Brandon Saad)2011 3rd round pick (TOR - #70 - Michael Paliotta),Toronto Maple Leafs Acquire:2010 2nd round pick (TOR - #32 - Jared Knight),Chicago Blackhawks ,2011 2nd round pick (CGY - #43 - Brandon Saad)2011 3rd round pick (TOR - #70 - Michael Paliotta),Toronto Maple Leafs ,2010 2nd round pick (TOR - #32 - Jared Knight)
110,"Sep. 4, 2009",Anaheim Ducks Acquire:Shawn Weller,Ottawa Senators Acquire:Jason Bailey,Anaheim Ducks ,Shawn Weller,Ottawa Senators ,Jason Bailey
111,"Aug. 31, 2009",Carolina Hurricanes Acquire:Rob Hennigar,New York Islanders Acquire:Bobby Hughes,Carolina Hurricanes ,Rob Hennigar,New York Islanders ,Bobby Hughes
112,"Aug. 28, 2009",San Jose Sharks Acquire:Patrick WhiteDaniel Rahimi,Vancouver Canucks Acquire:Christian EhrhoffBrad Lukowich,San Jose Sharks ,Patrick WhiteDaniel Rahimi,Vancouver Canucks ,Christian EhrhoffBrad Lukowich
113,"Aug. 13, 2009",Anaheim Ducks Acquire:Evgeny Artyukhin,Tampa Bay Lightning Acquire:Drew Miller2010 3rd round pick (ANA - #72 - Adam Janosik),Anaheim Ducks ,Evgeny Artyukhin,Tampa Bay Lightning ,Drew Miller2010 3rd round pick (ANA - #72 - Adam Janosik)
114,"Aug. 10, 2009",Anaheim Ducks Acquire:Justin Pogge,Toronto Maple Leafs Acquire:2011 6th round pick (ANA - #173 - Dennis Robertson),Anaheim Ducks ,Justin Pogge,Toronto Maple Leafs ,2011 6th round pick (ANA - #173 - Dennis Robertson)
115,"Jul. 27, 2009",Calgary Flames Acquire:Anton StrålmanColin Stuart2012 7th round pick (TOR - #186 - Matthew DeBlouw),Toronto Maple Leafs Acquire:Wayne Primeau2011 2nd round pick (CGY - #43 - Brandon Saad),Calgary Flames ,Anton StrålmanColin Stuart2012 7th round pick (TOR - #186 - Matthew DeBlouw),Toronto Maple Leafs ,Wayne Primeau2011 2nd round pick (CGY - #43 - Brandon Saad)
116,"Jul. 24, 2009",Boston Bruins Acquire:Patrick Eaves2010 4th round pick (CAR - #97 - Craig Cunningham),Carolina Hurricanes Acquire:Aaron Ward,Boston Bruins ,Patrick Eaves2010 4th round pick (CAR - #97 - Craig Cunningham),Carolina Hurricanes ,Aaron Ward
117,"Jul. 21, 2009",Arizona Coyotes Acquire:Radim Vrbata,Tampa Bay Lightning Acquire:David HaleTodd Fedoruk,Arizona Coyotes ,Radim Vrbata,Tampa Bay Lightning ,David HaleTodd Fedoruk
118,"Jul. 17, 2009",Calgary Flames Acquire:Keith Seabrook,Washington Capitals Acquire:2012 7th round pick (CGY - #195 - Christian Djoos),Calgary Flames ,Keith Seabrook,Washington Capitals ,2012 7th round pick (CGY - #195 - Christian Djoos)
119,"Jul. 16, 2009",Colorado Avalanche Acquire:Brian Fahey,New York Rangers Acquire:Nigel Williams,Colorado Avalanche ,Brian Fahey,New York Rangers ,Nigel Williams
120,"Jul. 13, 2009",Arizona Coyotes Acquire:Lauri Korpikoski,New York Rangers Acquire:Enver Lisin,Arizona Coyotes ,Lauri Korpikoski,New York Rangers ,Enver Lisin
121,"Jul. 9, 2009",Edmonton Oilers Acquire:2010 Conditional Draft Pick* *Conditions: Details unknown Result: Conditions not met,New Jersey Devils Acquire:Tim Sestito,Edmonton Oilers ,2010 Conditional Draft Pick* *Conditions: Details unknown Result: Conditions not met),New Jersey Devils ,Tim Sestito
122,"Jul. 8, 2009",Dallas Stars Acquire:Alex Auld,Ottawa Senators Acquire:2010 6th round pick (SJS - #178 - Mark Stone),Dallas Stars ,Alex Auld,Ottawa Senators ,2010 6th round pick (SJS - #178 - Mark Stone)
123,"Jul. 3, 2009",Colorado Avalanche Acquire:Kyle QuinceyTom Preissing2010 5th round pick (LAK - #139 - Luke Walker),Los Angeles Kings Acquire:Ryan Smyth,Colorado Avalanche ,Kyle QuinceyTom Preissing2010 5th round pick (LAK - #139 - Luke Walker),Los Angeles Kings ,Ryan Smyth
124,"Jul. 1, 2009",Toronto Maple Leafs Acquire:Colin StuartGarnet Exelby,Atlanta Thrashers Acquire:Pavel KubinaTim Stapleton,Toronto Maple Leafs ,Colin StuartGarnet Exelby,Atlanta Thrashers ,Pavel KubinaTim Stapleton
