,DATE,TRADE DETAILS,TRADE DETAILS.1,TRADE DETAILS.2,TRADE DETAILS.3,TRADE DETAILS.4,TRADE DETAILS.5,TRADE DETAILS.6,TRADE DETAILS.7,TRADE DETAILS.8,TRADE DETAILS.9,TRADE DETAILS.10,TRADE DETAILS.11,TRADE DETAILS.12,TRADE DETAILS.13,TRADE DETAILS.14,TRADE DETAILS.15,TRADE DETAILS.16,TRADE DETAILS.17,TRADE DETAILS.18,TRADE DETAILS.19,TRADE DETAILS.20,TRADE DETAILS.21,TRADE DETAILS.22,TRADE DETAILS.23,TRADE DETAILS.24,TRADE DETAILS.25,TRADE DETAILS.26,TRADE DETAILS.27,TRADE DETAILS.28,TRADE DETAILS.29,TRADE DETAILS.30,TRADE DETAILS.31,TRADE DETAILS.32,TRADE DETAILS.33
93,"Jan. 31, 2010",Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,Calgary Flames Acquire:Matt StajanIan WhiteJamal MayersNiklas Hagman,,,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom,Toronto Maple Leafs Acquire:Dion PhaneufKeith AulieFredrik Sjostrom
94,"Jan. 31, 2010",Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,Anaheim Ducks Acquire:Vesa ToskalaJason Blake,,,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere,Toronto Maple Leafs Acquire:Jean-Sebastien Giguere
95,"Dec. 28, 2009",Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,Columbus Blue Jackets Acquire:Milan JurcinaChris Clark,,,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera,Washington Capitals Acquire:Jason Chimera
96,"Dec. 8, 2009",Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,Columbus Blue Jackets Acquire:Tomas KanaBrendan Bell,,,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier,St. Louis Blues Acquire:Pascal Pelletier
97,"Dec. 3, 2009",Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,Carolina Hurricanes Acquire:Jiri Tlusty,,,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis,Toronto Maple Leafs Acquire:Philippe Paradis
98,"Dec. 2, 2009",Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,Anaheim Ducks Acquire:Kyle Chipchura,,,Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren),Montreal Canadiens Acquire:2011 4th round pick (ANA - #113 - Magnus Nygren)
99,"Nov. 23, 2009",Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,Minnesota Wild Acquire:Guillaume Latendresse,,,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot,Montreal Canadiens Acquire:Benoit Pouliot
100,"Oct. 20, 2009",Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,Columbus Blue Jackets Acquire:Michael Ratchuk,,,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein,Philadelphia Flyers Acquire:Stefan Legein
101,"Oct. 20, 2009",Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,Boston Bruins Acquire:Daniel Paille,,,Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher),Buffalo Sabres Acquire:2010 3rd round pick (BOS - #75 - Kevin Sundher)
102,"Oct. 18, 2009",Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),Boston Bruins Acquire:Craig Weller2011 2nd round pick (MIN - #40 - Alexander Khokhlachev),,,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew,Minnesota Wild Acquire:Chuck Kobasew
103,"Oct. 8, 2009",Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,Columbus Blue Jackets Acquire:Jordan LaVallée-Smotherman,,,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations,Atlanta Thrashers Acquire:Future Considerations
104,"Oct. 7, 2009",Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,Calgary Flames Acquire:Aaron Johnson,,,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree,Chicago Blackhawks Acquire:Kyle Greentree
105,"Sep. 28, 2009",Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),Calgary Flames Acquire:2010 3rd round pick (CBJ - #64 - Max Reinhart),,,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman,Columbus Blue Jackets Acquire:Anton Strålman
106,"Sep. 24, 2009",Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,Anaheim Ducks Acquire:Future Considerations,,,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy,Atlanta Thrashers Acquire:Steve McCarthy
