,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
547,548,"Roy, Matt",RD,26,Stnd,UFA,"$3,150,000 ",67,153,2,19,21,20:59,"$20,588 ","$1,575,000 ","$165,789 ","$150,000 ","$2,240 "
548,549,"Kukan, Dean",LD/RD,28,Stnd,UFA,"$1,650,000 ",41,41,3,8,11,16:17,"$40,243 ","$550,000 ","$206,249 ","$150,000 ","$2,471 "
549,550,"Kiviranta, Joel","RW, LW",25,Stnd,UFA,"$1,050,000 ",56,59,1,6,7,9:31,"$17,796 ","$1,050,000 ","$175,000 ","$150,000 ","$1,970 "
550,551,"Sanheim, Travis",LD/RD,25,Stnd,UFA,"$4,675,000 ",80,123,7,24,31,22:58,"$38,008 ","$667,857 ","$194,791 ","$150,806 ","$2,544 "
551,552,"Krug, Torey",LD,30,Stnd,UFA,"$6,500,000 ",64,119,9,34,43,20:33,"$54,621 ","$722,222 ","$191,176 ","$151,162 ","$4,942 "
552,553,"Palmieri, Kyle","RW, LW",30,Stnd,UFA,"$5,000,000 ",69,156,15,18,33,15:37,"$32,051 ","$333,333 ","$277,777 ","$151,515 ","$4,640 "
553,554,"Lee, Anders",LW,31,Stnd,UFA,"$7,000,000 ",76,159,28,18,46,16:37,"$44,025 ","$250,000 ","$388,888 ","$152,173 ","$5,542 "
554,555,"Cole, Ian",LD/RD,32,Stnd,UFA,"$2,900,000 ",75,77,2,17,19,17:09,"$37,662 ","$1,450,000 ","$170,588 ","$152,631 ","$2,254 "
555,556,"Grzelcyk, Matt",LD,27,Stnd,UFA,"$3,687,500 ",73,118,4,20,24,18:43,"$31,250 ","$921,875 ","$184,375 ","$153,645 ","$2,698 "
556,557,"Del Zotto, Michael",LD,31,Stnd,UFA,"$2,000,000 ",26,35,3,10,13,18:15,"$57,142 ","$666,666 ","$200,000 ","$153,846 ","$4,214 "
557,558,"Kessel, Phil",RW,34,Stnd,UFA,"$8,000,000 ",82,175,8,44,52,16:40,"$45,714 ","$1,000,000 ","$181,818 ","$153,846 ","$5,853 "
558,559,"Perunovich, Scott",LD,23,ELC,RFA,"$925,000 ",19,14,0,6,6,15:27,"$66,071 ",∞,"$154,166 ","$154,166 ","$3,151 "
559,560,"Fowler, Cam",LD/RD,30,Stnd,UFA,"$6,500,000 ",76,124,9,33,42,24:24:00,"$52,419 ","$722,222 ","$196,969 ","$154,761 ","$3,505 "
560,561,"Lowry, Adam",C,28,Stnd,UFA,"$3,250,000 ",79,115,13,8,21,15:28,"$28,260 ","$250,000 ","$406,250 ","$154,761 ","$2,659 "
561,562,"Gudas, Radko",RD,31,Stnd,UFA,"$2,500,000 ",77,100,3,13,16,18:00,"$25,000 ","$833,333 ","$192,307 ","$156,250 ","$1,803 "
562,563,"Cizikas, Casey",C,30,Stnd,UFA,"$2,500,000 ",74,91,10,6,16,13:44,"$27,472 ","$250,000 ","$416,666 ","$156,250 ","$2,459 "
563,564,"Parayko, Colton",RD,28,Stnd,UFA,"$5,500,000 ",80,135,6,29,35,23:33,"$40,740 ","$916,666 ","$189,655 ","$157,142 ","$2,919 "
564,565,"Gambrell, Dylan",C,25,Stnd,RFA,"$1,100,000 ",63,58,3,4,7,12:08,"$18,965 ","$366,666 ","$275,000 ","$157,142 ","$1,439 "
565,566,"Matheson, Michael",LD,27,Stnd,UFA,"$4,875,000 ",74,140,11,20,31,18:47,"$34,821 ","$443,181 ","$243,750 ","$157,258 ","$3,507 "
566,567,"Athanasiou, Andreas","LW, RW",27,Stnd,UFA,"$2,700,000 ",28,71,11,6,17,15:14,"$38,028 ","$245,454 ","$450,000 ","$158,823 ","$6,330 "
567,568,"Nurse, Darnell",LD,26,Stnd,UFA,"$5,600,000 ",71,203,9,26,35,25:02:00,"$27,586 ","$622,222 ","$215,384 ","$160,000 ","$3,150 "
568,569,"Larsson, Adam",RD,29,Stnd,UFA,"$4,000,000 ",82,119,8,17,25,22:16,"$33,613 ","$500,000 ","$235,294 ","$160,000 ","$2,190 "
569,570,"Tanev, Christopher",RD,32,Stnd,UFA,"$4,500,000 ",82,88,6,22,28,20:27,"$51,136 ","$750,000 ","$204,545 ","$160,714 ","$2,683 "
570,571,"Benoit, Simon",LD,23,ELC,RFA,"$809,166 ",53,45,1,4,5,14:05,"$17,981 ","$809,166 ","$202,291 ","$161,833 ","$1,084 "
571,572,"Goligoski, Alex",LD/RD,36,35+,UFA,"$5,000,000 ",72,80,2,28,30,18:55,"$62,500 ","$2,500,000 ","$178,571 ","$166,666 ","$3,671 "
572,573,"Staal, Jordan","C, LW",33,Stnd,UFA,"$6,000,000 ",78,146,17,19,36,16:37,"$41,095 ","$352,941 ","$315,789 ","$166,666 ","$4,629 "
573,574,"Kassian, Zack",RW,30,Stnd,UFA,"$3,200,000 ",58,58,6,13,19,11:47,"$55,172 ","$533,333 ","$246,153 ","$168,421 ","$4,682 "
