,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
20,20,Filip Forsberg,NSH,32,"Aug. 13, 1994",Sweden,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Right,11 - Round 1 - 2012 (WSH),,,,NSH,Standard (1-way),Yes,"Jul. 9, 2022",27,,,NMC,8,UFA,UFA,2030,"$8,500,000 ",10.30%,"$8,500,000 ","$7,000,000 ","$4,000,000 ","$7,000,000 ","$3,000,000 ",$0 
21,21,Mark Scheifele,WPG,34,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,WPG,Standard (1-way),Yes,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
22,22,Connor Hellebuyck,WPG,34,19-May-93,United States,207 lbs - 94 kg,"6'4"" - 193 cm",G,Left,130 - Round 5 - 2012 (WPG),,,,WPG,Standard (1-way),Yes,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
23,23,Bo Horvat,NYI,32,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),Yes,"Feb. 5, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$8,500,000 ",10.30%,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ",$0 ,$0 
24,24,Mika Zibanejad,NYR,34,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,NYR,Standard (1-way),Yes,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000 ",10.40%,"$8,500,000 ","$7,750,000 ","$1,000,000 ","$7,750,000 ","$6,750,000 ",$0 
25,25,Tomas Hertl,VGK,33,"Nov. 12, 1993",Czech Republic,215 lbs - 98 kg,"6'2"" - 188 cm",C,Left,17 - Round 1 - 2012 (SJS),,,,SJS,Standard (1-way),Yes,"Mar. 16, 2022",28,,,"M-NTC, NMC",8,UFA,UFA,2030,"$8,137,500 ",10.00%,"$8,137,500 ","$6,300,000 ","$2,300,000 ","$6,300,000 ","$4,000,000 ",$0 
26,26,Steven Stamkos,NSH,37,"Feb. 7, 1990",Canada,194 lbs - 88 kg,"6'1"" - 185 cm","LW, C",Right,1 - Round 1 - 2008 (TBL),,,,NSH,Standard (1-way),,"Jul. 1, 2024",34,,,,4,UFA,UFA,2028,"$8,000,000 ",9.10%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
27,27,J.T. Miller,VAN,34,"Mar. 14, 1993",United States,218 lbs - 99 kg,"6'1"" - 185 cm","C, LW, RW",Left,15 - Round 1 - 2011 (NYR),,,,VAN,Standard (1-way),Yes,"Sep. 2, 2022",30,,,"M-NTC, NMC",7,UFA,UFA,2030,"$8,000,000 ",9.70%,"$8,000,000 ","$7,500,000 ","$4,500,000 ","$7,500,000 ","$3,000,000 ",$0 
28,28,Victor Hedman,TBL,36,"Dec. 18, 1990",Sweden,229 lbs - 104 kg,"6'6"" - 198 cm",LD,Left,2 - Round 1 - 2009 (TBL),,,,TBL,Standard (1-way),Yes,"Jul. 2, 2024",34,,,NMC,4,UFA,UFA,2029,"$8,000,000 ",9.10%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
29,29,Pavel Buchnevich,STL,32,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,STL,Standard (1-way),Yes,"Jul. 2, 2024",30,,,NTC,6,UFA,UFA,2031,"$8,000,000 ",9.10%,"$8,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
