,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
85,"Jul. 12, 2011",Anaheim Ducks Acquire:Andrew Cogliano,Edmonton Oilers Acquire:2013 2nd round pick (ANA - #56 - Marc-Olivier Roy),Anaheim Ducks ,Andrew Cogliano,Edmonton Oilers ,2013 2nd round pick (ANA - #56 - Marc-Olivier Roy)
86,"Jul. 9, 2011",Florida Panthers Acquire:Angelo Esposito,Winnipeg Jets Acquire:Kenndal McArdle,Florida Panthers ,Angelo Esposito,Winnipeg Jets ,Kenndal McArdle
87,"Jul. 9, 2011",Calgary Flames Acquire:Jordan Henry,Florida Panthers Acquire:Keith Seabrook,Calgary Flames ,Jordan Henry,Florida Panthers ,Keith Seabrook
88,"Jul. 9, 2011",Florida Panthers Acquire:Sergei Shirokov,Vancouver Canucks Acquire:Mike Duco,Florida Panthers ,Sergei Shirokov,Vancouver Canucks ,Mike Duco
89,"Jul. 8, 2011",Washington Capitals Acquire:Danick Paquette2012 4th round pick (WPG - #100 - Thomas DiPauli),Winnipeg Jets Acquire:Eric Fehr,Washington Capitals ,Danick Paquette2012 4th round pick (WPG - #100 - Thomas DiPauli),Winnipeg Jets ,Eric Fehr
90,"Jul. 7, 2011",Columbus Blue Jackets Acquire:Ryan Russell,Montreal Canadiens Acquire:Mike Blunden,Columbus Blue Jackets ,Ryan Russell,Montreal Canadiens ,Mike Blunden
91,"Jul. 5, 2011",Boston Bruins Acquire:Joe Corvo,Carolina Hurricanes Acquire:2012 4th round pick (BOS - #115 - Trevor Carrick),Boston Bruins ,Joe Corvo,Carolina Hurricanes ,2012 4th round pick (BOS - #115 - Trevor Carrick)
92,"Jul. 3, 2011",Minnesota Wild Acquire:Dany Heatley,San Jose Sharks Acquire:Martin Havlat,Minnesota Wild ,Dany Heatley,San Jose Sharks ,Martin Havlat
93,"Jul. 3, 2011",Nashville Predators Acquire:Brett LebdaRobert Slaney2013 4th round pick (TOR - #112 - Zachary Pochiro),Toronto Maple Leafs Acquire:Cody FransonMatthew Lombardi,Nashville Predators ,Brett LebdaRobert Slaney2013 4th round pick (TOR - #112 - Zachary Pochiro),Toronto Maple Leafs ,Cody FransonMatthew Lombardi
94,"Jul. 2, 2011",Nashville Predators Acquire:Brodie Dupont,New York Rangers Acquire:Andreas Thuresson,Nashville Predators ,Brodie Dupont,New York Rangers ,Andreas Thuresson
95,"Jul. 1, 2011",Anaheim Ducks Acquire:Kurtis Foster,Edmonton Oilers Acquire:Andy Sutton,Anaheim Ducks ,Kurtis Foster,Edmonton Oilers ,Andy Sutton
96,"Jul. 1, 2011",Colorado Avalanche Acquire:Semyon Varlamov,Washington Capitals Acquire:2012 1st round pick (COL - #11 - Filip Forsberg)2012 2nd round pick (BOS - #54 - Mike Winther),Colorado Avalanche ,Semyon Varlamov,Washington Capitals ,2012 1st round pick (COL - #11 - Filip Forsberg)2012 2nd round pick (BOS - #54 - Mike Winther)
97,"Jul. 1, 2011",Florida Panthers Acquire:Kris Versteeg,Philadelphia Flyers Acquire:2012 2nd round pick (FLA - #53 - Brian Hart)2012 3rd round pick (SJS - #78 - Shayne Gostisbehere),Florida Panthers ,Kris Versteeg,Philadelphia Flyers ,2012 2nd round pick (FLA - #53 - Brian Hart)2012 3rd round pick (SJS - #78 - Shayne Gostisbehere)
